Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Explicit Track,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,False,32.845336481700116,0.27957925116718696,-0.02047847258309756,7.5099990585476375,2.7777777777777777,-0.17087355107482044,0.15662292011178527,14.215768928536207,10.795104982632933,9.432514101622163,0.24995248584077817,3.7916666666666665,0.9802670249391217,20.620689655172413,2.0434782608695654,33.094468290325764,5.388888888888889,0.11992211746078213,0.7230109895371944,1593858.0,0.9282909918311244
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,True,24.36835891381346,0.15564713304566843,-0.05387788620076858,6.607578788786468,2.7777777777777777,-0.08523689615513051,0.7668908015246951,1.253471703035374,0.15007274066080917,-0.10719864299537196,0.27751080421392726,3.3333333333333335,0.9747529879362947,-2.8620689655172415,2.260869565217391,19.415114831142727,5.222222222222222,-0.11279475805518252,0.9869993056719419,3398476.0,0.13489208173070283
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,False,24.014167650531284,0.6709345999842907,0.2825285011323466,8.123343999884508,2.7777777777777777,-0.06854314146163361,0.3340328515500539,7.236285778822691,4.29398710652724,5.777517266825761,1.3134753741325098,3.375,1.913958630727461,15.517241379310345,5.260869565217392,68.78427051856413,8.61111111111111,-0.17555451853992682,-0.1050111331912754,3984052.0,2.2665348242507517
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,False,19.598583234946872,3.325228491207574,3.0472634422054132,5.050140790386886,2.0,2.5308174483782633,3.2246864210886335,17.835212374374457,18.173266349023322,26.69400873132123,15.501236862012881,7.625,41.113051753575725,72.27586206896552,10.826086956521738,46.600819946731576,10.722222222222221,4.040533611835986,9.363947614145138,0.0,5.610817966922423
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,True,18.578512396694215,-0.2465309261541118,-0.32192004927151296,5.660402436841165,2.3333333333333335,-0.18929946469257228,0.8300122561922674,-0.4219809306868325,0.0,0.0,0.06967183561575603,3.2083333333333335,0.17443390153105495,-2.9310344827586206,2.9130434782608696,33.21247275938333,4.888888888888889,-0.18758879838306286,-0.03955275696123734,-3017420.0,-0.20337374716028112
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,True,17.955135773317593,0.7996725768222429,0.944114043022756,6.6413214653339985,1.7777777777777777,-0.045716404945500756,0.0463333615480376,10.23180827609464,3.254069355210126,4.976138998678365,13.195068694355363,2.2916666666666665,14.445349455593808,157.51724137931035,3.0869565217391304,32.27201682782691,7.5,2.8631159019887766,2.0662245313285608,6214002.0,1.873560701820438
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,False,17.818181818181817,1.225655026591249,0.5235868121716034,7.7128951380256705,2.111111111111111,0.4284292054342304,0.9850458626577012,0.0,0.052686680750028206,0.5008182749986401,21.459533001946134,5.25,10.566938170011476,11.827586206896552,6.6521739130434785,91.4221639140519,7.611111111111111,1.1997409772375929,2.372207723801087,0.0,4.673338588614319
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,True,16.33530106257379,0.8078652561805395,0.09985180052735916,8.108160804978118,2.7777777777777777,0.21391071839536518,0.06247148422419541,8.444199830113226,5.388856652011798,6.588259556216294,9.599094473682907,2.75,0.3153917205474851,-1.9310344827586208,3.130434782608696,62.920356133088134,2.0,-0.2131136157038934,-0.09912131587138172,0.0,2.6646111049441417
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,True,15.386068476977568,2.623102619812345,-0.4145864208223467,-0.5430410262823909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,True,14.200708382526566,-0.27689507703111954,-0.2811555709529034,7.000839955709248,2.111111111111111,-0.30848991033901224,-0.09264504594523733,0.36547926204239534,1.641465753546976,1.3195240679608442,0.36483935277492285,3.3958333333333335,-0.05961877571584516,1.0689655172413792,2.739130434782609,20.135021008573556,4.166666666666667,-0.26698303963543984,-0.3347140086671295,455110.0,-0.09631487488355937
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,True,13.799291617473438,0.01898822073532423,-0.2064912652129004,6.368771221393402,2.6666666666666665,-0.30984147123566624,-0.24352180067618948,0.0,-0.45509706996062094,-0.49117268201252806,1.0911613850030242,2.6875,1.5774904134128251,-0.5172413793103449,1.9565217391304348,22.439554542946176,5.388888888888889,0.23715688855586844,0.6387818133933488,-1629994.0,0.055671022820571715
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,True,13.70956316410862,-0.23888305246022595,-0.4145735896991743,-0.532239071153577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0
